printedschoolname,type,address,Postcode,Latitude,Longitude,score
I.S. 584,middle,"600 Saint Ann's Avenue, Bronx NY 10455",10455,40.815498,-73.91224,
Bronx Studio School for Writers and Artists,middle,"928 Simpson Street, Bronx NY 10459",10459,40.820579,-73.893128,
Mott Hall Community School,middle,"650 Hollywood Avenue, Bronx NY 10465",10465,40.826526,-73.818417,
Professional Performing Arts School,middle,"328 West 48th Street, Manhattan NY 10036",10036,40.761448,-73.988019,
Simon Baruch Middle School (J.H.S. 104),middle,"330 East 21st Street, Manhattan NY 10010",10010,40.736094,-73.980663,
East Side Middle School,middle,"331 East 91st Street, Manhattan NY 10128",10128,40.780706,-73.948553,
Manhattan Academy of Technology/Jacob Riis (P.S. 126),middle,"80 Catherine Street, Manhattan NY 10038",10038,40.710729,-73.996631,
Sun Yat Sen Middle School (M.S. 131),middle,"100 Hester Street, Manhattan NY 10002",10002,40.716553,-73.993092,
Robert F. Wagner (J.H.S. 167),middle,"220 East 76th Street, Manhattan NY 10021",10021,40.77205,-73.958066,
Yorkville East Middle School,middle,"1458 York Avenue, Manhattan NY 10075",10075,40.770419,-73.951135,
The Roosevelt Island (P.S./I.S. 217),middle,"645 Main Street, Manhattan NY 10044",10044,40.763894,-73.947916,
The Ella Baker School,middle,"317 East 67th Street, Manhattan NY 10065",10065,40.765359,-73.960059,
The Salk School of Science (M.S. 255),middle,"319 East 19th Street, Manhattan NY 10003",10003,40.735161,-73.982027,
The Clinton School for Writers & Artists (M.S. 260),middle,"10 East 15th Street, Manhattan NY 10003",10003,40.736518,-73.992725,
Battery Park City School (P.S./I.S. 276),middle,"55 Battery Place, Manhattan NY 10280",10280,40.70644,-74.017818,
Hudson River Middle School (I.S. 289),middle,"201 Warren Street, Manhattan NY 10282",10282,40.716668,-74.013542,
